Rodada,ID,Nome,Clube,Posição,Mandante_Visitante,Pontuação,FD,FS,CA,FC,DS,FF,SG,A,G,I,DE,GS,V,PC,DP,CV,FT,PP,PS,GC
9,110506,Abel Ferreira,PAL,Técnico,visitante,6.6,,,,,,,,,,,,,1.0,,,,,,,
9,110510,Aguirre,INT,Lateral,mandante,4.7,,,,2.0,3.0,1.0,,,,,,,,,,,,,,
9,110715,Andrés Hurtado,RBB,Lateral,mandante,2.7,,,,1.0,2.0,,,,,,,,,,,,,,,
9,110727,Rubens,CAM,Meia,visitante,4.9,,2.0,,2.0,3.0,,,,,,,,,,,,,,,
9,110818,Renato Paiva,BOT,Técnico,visitante,5.65,,,,,,,,,,,,,,,,,,,,
9,111166,Rômulo,CEA,Meia,mandante,0.9,,,,2.0,1.0,,,,,,,,,,,,,,,
9,111407,Luis Mandaca,JUV,Meia,mandante,7.1,,1.0,,3.0,5.0,,,,,,,,,,,,,,,
9,111578,António Oliveira,SPT,Técnico,visitante,1.95,,,,,,,,,,,,,,,,,,,,
9,111682,Adson,VAS,Meia,mandante,1.2,1.0,,,,,,,,,,,,,,,,,,,
9,111683,Anthoni,INT,Goleiro,mandante,0.3,,,,,,,,,,,1.0,1.0,,,,,,,,
9,112709,Kaiki Bruno,CRU,Lateral,mandante,9.7,,1.0,,1.0,3.0,,1.0,,,,,,,,,,,,,
9,112886,Lucas Barbosa,RBB,Atacante,mandante,6.6,,,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,
9,113034,Freytes,FLU,Zagueiro,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,113073,Kervin Andrade,FOR,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,113078,Mancuso,FOR,Lateral,visitante,2.3,,,,,1.0,1.0,,,,,,,,,,,,,,
9,113103,Flaco López,PAL,Atacante,visitante,3.4,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
9,113359,Pablo Maia,SAO,Meia,mandante,0.4,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
9,113687,Du Queiroz,SPT,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,115239,Wesley,FLA,Lateral,mandante,12.2,,5.0,1.0,1.0,4.0,,1.0,,,,,,,,,,,,,
9,115248,Jhon Jhon,RBB,Meia,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,115404,Rwan Cruz,BOT,Atacante,visitante,2.7,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,
9,115594,Marcos Paulo,JUV,Lateral,mandante,4.2,,,,1.0,3.0,,,,,,,,,,,,,,,
9,115914,Evertton Araújo,FLA,Meia,mandante,3.9,2.0,3.0,,,,,,,,,,,,,,,,,,
9,115915,Lelê,CEA,Atacante,mandante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,116012,Matheus Gonçalves,FLA,Meia,mandante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
9,116065,Cuiabano,BOT,Lateral,visitante,8.1,,2.0,1.0,2.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,
9,116447,Hércules,FLU,Meia,visitante,15.3,1.0,,,,3.0,2.0,,,1.0,,,,,,,,,,,
9,116461,Jamerson,VIT,Lateral,visitante,3.1,,,,,1.0,2.0,,,,,,,,,,,,,,
9,117314,Thiago Borbas,RBB,Atacante,mandante,-0.3,,,,1.0,,,,,,,,,,,,,,,,
9,117910,Breno Bidon,COR,Meia,mandante,5.2,,2.0,,1.0,3.0,,,,,,,,,,,,,,,
9,118238,Ronald,GRE,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,118752,Mateus Carvalho,VAS,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,118758,Jair,BOT,Zagueiro,visitante,8.9,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,
9,121830,Janderson,VIT,Atacante,visitante,1.2,1.0,,,,,,,,,,,,,,,,,,,
9,122302,Cristian,MIR,Atacante,visitante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,122394,Gustavinho,RBB,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,122396,Ryan,COR,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,122420,Lucca,INT,Atacante,mandante,0.5,,1.0,,,,,,,,,,,,,,,,,,
9,122486,Rayan,VAS,Atacante,mandante,6.5,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,
9,122755,Lucas Cunha,SPT,Zagueiro,visitante,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,
9,122897,Guzmán Rodríguez,RBB,Zagueiro,mandante,1.5,,,,,1.0,,,,,,,,,,,,,,,
9,122990,Patrick,CAM,Meia,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,123004,Tiago,BAH,Atacante,mandante,7.6,,4.0,,3.0,1.0,,,1.0,,,,,,,,,,,,
9,123360,Cauly,BAH,Meia,mandante,1.0,,2.0,,,,,,,,,,,,,,,,,,
9,123795,Lucho Rodríguez,BAH,Atacante,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,124251,Deivid Washington,SAN,Atacante,visitante,1.0,,2.0,,,,,,,,,,,,,,,,,,
9,124271,Gustavo Prado,INT,Meia,mandante,3.7,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
9,124280,Ricardo Mathias,INT,Atacante,mandante,13.1,2.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,
9,124481,Mateo Ponte,BOT,Lateral,visitante,5.0,,,,,,,1.0,,,,,,,,,,,,,
9,124526,Giay,PAL,Lateral,visitante,4.1,,1.0,,3.0,3.0,,,,,,,,,,,,,,,
9,124757,Nathan Fernandes,BOT,Atacante,visitante,0.0,,,,,,,,,,,,,,,,,,,,
9,126182,Paulinho,VAS,Meia,mandante,0.0,,,,,,,,,,,,,,,,,,,,
9,126471,Barreal,SAN,Meia,visitante,5.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,
9,126900,Igor Coronado,COR,Meia,mandante,3.2,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,
9,126977,Fernando Seabra,RBB,Técnico,mandante,3.13,,,,,,,,,,,,,,,,,,,,
9,128915,Estêvão,PAL,Atacante,visitante,5.5,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,
